Year,State,Gallons of ethanol (absolute alcohol),Population (age 14 and older),Gallons of ethanol per capita age 14 and older,Decile for per capita consumption age 14 and older,Population (age 21 and older),Gallons of ethanol per capita age 21 and older,Decile for per capita consumption age 21 and older,Gallons of ethanol derived from time-varying ABV
1971,North Carolina,7196315,3851550,18684,9.0,3103016,3191,8.0,
1971,North Dakota,1116885,458709,24348,6.0,365542,554,6.0,
1971,Ohio,17495575,7903561,22136,7.0,6448795,7130,7.0,
1971,Oklahoma,3496760,1978410,17675,9.0,1628378,1474,9.0,
1971,Oregon,4157165,1621675,25635,6.0,1330941,1235,6.0,
1971,Pennsylvania,20793440,8997540,23110,6.0,7462206,7865,7.0,
1971,Rhode Island,2116970,731584,28937,4.0,605244,4977,4.0,
1971,South Carolina,4136920,1933334,21398,8.0,1527030,7091,8.0,
1971,South Dakota,1037835,493861,21015,8.0,394462,6310,8.0,
1971,Tennessee,4891920,2994737,16335,0.0,2453005,9943,0.0,
1971,Texas,19157965,8393263,22825,7.0,6791207,8210,7.0,
1971,Utah,1139485,766903,14858,0.0,594783,9158,0.0,
1971,Vermont,1254095,331711,37807,1.0,269164,6592,1.0,
1971,Virginia,8036675,3519914,22832,7.0,2864136,8060,7.0,
1971,Washington,6993145,2567834,27234,4.0,2096931,3349,5.0,
1971,West Virginia,2304445,1335677,17253,9.0,1095525,1035,9.0,
1971,Wisconsin,10604105,3255248,32575,2.0,2638416,191,2.0,
1971,Wyoming,668830,248688,26894,5.0,200571,3346,5.0,
1971,Northeast Region,105700890,37264256,28365,,31042684,4050,,
1971,Midwest Region,104061075,42020458,24764,,34265837,369,,
1971,South Region,106857720,47584904,22456,,38724994,7594,,
1971,West Region,79031205,26477442,29849,,21654226,6497,,
1971,United States,395650890,153347060,25801,,125687741,1479,,
1972,Alabama,4176480,2611541,15992,0.0,2109740,9796,0.0,
1972,Alaska,781600,223908,34907,1.0,175638,4501,1.0,
1972,Arizona,4199705,1472335,28524,3.0,1192052,5231,3.0,
1972,Arkansas,2211140,1513030,14614,0.0,1244592,7766,0.0,
1972,California,48899295,15550186,31446,2.0,12815357,8157,2.0,
1972,Colorado,5193750,1785786,29084,3.0,1441422,6032,3.0,
1972,Connecticut,6186575,2308372,26801,5.0,1914298,2318,5.0,
1972,Delaware,1289480,422431,30525,2.0,340770,7840,2.0,
1972,District of Columbia,3679540,581285,63300,1.0,487404,5493,1.0,
1972,Florida,17750105,5815639,30521,2.0,4893370,6274,2.0,
1972,Georgia,7586775,3517422,21569,7.0,2844566,6671,7.0,
1972,Hawaii,1515190,608512,24900,6.0,489729,939,6.0,
1972,Idaho,1308830,557366,23482,6.0,445325,9390,6.0,
1972,Illinois,23863470,8408937,28379,4.0,6923089,4469,3.0,
1972,Indiana,7004050,3915276,17889,9.0,3179511,2029,9.0,
1972,Iowa,4034200,2139954,18852,8.0,1751841,3028,9.0,
1972,Kansas,2987595,1715066,17420,9.0,1400226,1337,9.0,
1972,Kentucky,4697465,2478842,18950,8.0,2015493,3307,8.0,
1972,Louisiana,6680685,2704829,24699,6.0,2154326,1011,6.0,
1972,Maine,1941950,769430,25239,6.0,630605,795,6.0,
1972,Maryland,8882970,3010494,29507,2.0,2458657,6129,2.0,
1972,Massachusetts,12531795,4360121,28742,3.0,3601477,4796,3.0,
1972,Michigan,17832200,6605696,26995,4.0,5316067,3544,5.0,
1972,Minnesota,7101465,2843297,24976,6.0,2298019,903,6.0,
1972,Mississippi,2985145,1664185,17938,9.0,1321658,2586,9.0,
1972,Missouri,8033995,3593991,22354,7.0,2962419,7120,7.0,
1972,Montana,1451570,531431,27314,4.0,427823,3929,4.0,
1972,Nebraska,2731170,1138152,23997,6.0,930358,9356,6.0,
1972,Nevada,2349755,405253,57982,1.0,336578,9813,1.0,
1972,New Hampshire,3027585,578174,52365,1.0,477977,3342,1.0,
1972,New Jersey,15805800,5526846,28598,3.0,4607493,4305,4.0,
1972,New Mexico,2052820,764279,26860,5.0,601122,4150,4.0,
1972,New York,39309760,13966964,28145,4.0,11694089,3615,4.0,
1972,North Carolina,7359310,3954784,18609,9.0,3194386,3038,8.0,
1972,North Dakota,1180620,467762,25240,5.0,373103,1643,5.0,
1972,Ohio,17169035,7990359,21487,8.0,6508237,6380,8.0,
1972,Oklahoma,3524560,2019542,17452,9.0,1661954,1207,9.0,
1972,Oregon,4311460,1668577,25839,5.0,1370872,1450,5.0,
1972,Pennsylvania,20632565,9094825,22686,7.0,7534440,7384,7.0,
1972,Rhode Island,2171270,746686,29079,3.0,617046,5188,3.0,
1972,South Carolina,4349595,1991284,21843,7.0,1579247,7542,7.0,
1972,South Dakota,1055040,503410,20958,8.0,402221,6230,8.0,
1972,Tennessee,5192565,3073909,16892,0.0,2522351,586,0.0,
1972,Texas,20007930,8640193,23157,7.0,6988503,8630,7.0,
1972,Utah,1196495,797167,15009,0.0,617142,9388,0.0,
1972,Vermont,1300750,341271,38115,1.0,276895,6976,1.0,
1972,Virginia,7763820,3601840,21555,8.0,2926972,6525,8.0,
1972,Washington,6870645,2584482,26584,5.0,2114819,2488,5.0,
1972,West Virginia,2314475,1364979,16956,0.0,1122675,616,0.0,
1972,Wisconsin,10905960,3317425,32875,2.0,2687401,582,2.0,
1972,Wyoming,706470,256049,27591,4.0,206285,4247,4.0,
1972,Northeast Region,102908050,37692689,27302,,31354320,2821,,
1972,Midwest Region,103898800,42639325,24367,,34732492,9914,,
1972,South Region,110452040,48966229,22557,,39866664,7705,,
1972,West Region,80837585,27205331,29714,,22234164,6357,,
