Year,State,Gallons of ethanol (absolute alcohol),Population (age 14 and older),Gallons of ethanol per capita age 14 and older,Decile for per capita consumption age 14 and older,Population (age 21 and older),Gallons of ethanol per capita age 21 and older,Decile for per capita consumption age 21 and older,Gallons of ethanol derived from time-varying ABV
1982,Washington,9583083,3390577,28264,5.0,2903969,3000,5.0,9707137.0
1982,West Virginia,2758332,1535306,17966,0.0,1306500,1112,0.0,2849750.0
1982,Wisconsin,12343071,3742437,32981,2.0,3145975,9234,2.0,12613898.0
1982,Wyoming,1225044,380509,32195,3.0,322915,7937,2.0,1248333.0
1982,Northeast Region,112085340,40099007,27952,,34121983,2848,,13689508.0
1982,Midwest Region,119260524,46342054,25735,,39175527,443,,22177567.0
1982,South Region,157269915,61803339,25447,,52271859,87,,61926584.0
1982,West Region,111627543,35664638,31299,,30419606,6696,,12686214.0
1982,United States,500243322,183909038,27201,,155988975,2069,,10215403.0
1983,Alabama,5875908,3088856,19023,0.0,2609345,2519,0.0,5978499.0
1983,Alaska,1445757,365673,39537,1.0,307150,7070,1.0,1442041.0
1983,Arizona,7067673,2339262,30213,3.0,2000127,5336,4.0,7115637.0
1983,Arkansas,3258906,1815799,17948,0.0,1544104,1105,0.0,3353430.0
1983,California,64909392,20238325,32073,2.0,17391552,7322,2.0,63982464.0
1983,Colorado,7797897,2475367,31502,3.0,2122950,6731,2.0,7781688.0
1983,Connecticut,7288428,2598565,28048,5.0,2217607,2866,5.0,7166596.0
1983,Delaware,1576371,484730,32521,2.0,410770,8376,2.0,1577291.0
1983,District of Columbia,2819604,535269,52676,1.0,468235,218,1.0,2798717.0
1983,Florida,28153986,8902764,31624,2.0,7790373,6139,3.0,28203142.0
1983,Georgia,10847907,4483360,24196,7.0,3779220,8704,7.0,10957204.0
1983,Hawaii,2746848,795048,34549,1.0,679380,432,1.0,2745870.0
1983,Idaho,1843965,730325,25249,7.0,617268,9873,7.0,1849343.0
1983,Illinois,25436178,9026268,28180,4.0,7691781,3069,5.0,25547972.0
1983,Indiana,9423732,4282854,22003,8.0,3630665,5956,8.0,9549994.0
1983,Iowa,4946820,2271948,21773,8.0,1938378,5520,8.0,4997806.0
1983,Kansas,3762879,1910113,19700,9.0,1644166,2886,9.0,3828437.0
1983,Kentucky,5666817,2899563,19544,9.0,2452851,3103,9.0,5785663.0
1983,Louisiana,9318138,3362670,27711,5.0,2800464,3274,4.0,9466786.0
1983,Maine,2407770,911889,26404,6.0,773533,1127,6.0,2381998.0
1983,Maryland,10097190,3492658,28910,4.0,2962619,4082,4.0,10135534.0
1983,Massachusetts,14582889,4781816,30497,3.0,4083287,5714,3.0,14366403.0
1983,Michigan,18598920,7111268,26154,6.0,5995543,1021,6.0,18633857.0
1983,Minnesota,8973849,3270458,27439,6.0,2780993,2269,5.0,8972504.0
1983,Mississippi,4107534,1952885,21033,9.0,1618258,5382,9.0,4204806.0
1983,Missouri,9382845,3937471,23830,8.0,3373057,7817,8.0,9526235.0
1983,Montana,1960710,631242,31061,3.0,537459,6481,3.0,1963667.0
1983,Nebraska,3123087,1243589,25113,7.0,1065441,9313,7.0,3151505.0
1983,Nevada,3734988,721258,51784,1.0,622743,9976,1.0,3685796.0
1983,New Hampshire,3913500,768717,50910,1.0,656271,9632,1.0,3863846.0
1983,New Jersey,17387211,6095951,28523,4.0,5208766,3381,4.0,17257513.0
1983,New Mexico,3190044,1061429,30054,4.0,887571,5941,3.0,3222979.0
1983,New York,39857997,14380577,27717,5.0,12288983,2434,5.0,39788308.0
1983,North Carolina,10332483,4863574,21245,9.0,4131928,5006,9.0,10611066.0
1983,North Dakota,1426875,525740,27140,6.0,446353,1967,6.0,1427690.0
1983,Ohio,18923217,8498106,22268,8.0,7238540,6142,8.0,19124644.0
1983,Oklahoma,5090472,2580029,19730,9.0,2208561,3049,9.0,5168483.0
1983,Oregon,5674437,2102573,26988,6.0,1819606,1185,6.0,5667431.0
1983,Pennsylvania,22237368,9637938,23073,8.0,8269280,6892,8.0,22525524.0
1983,Rhode Island,2393697,786705,30427,3.0,673348,5549,3.0,2377016.0
1983,South Carolina,6300786,2532942,24875,7.0,2124845,9653,7.0,6398336.0
1983,South Dakota,1310955,536982,24413,7.0,456148,8740,7.0,1317017.0
1983,Tennessee,7215237,3708833,19454,0.0,3164439,2801,0.0,7333414.0
1983,Texas,33746250,12149523,27776,5.0,10288313,2801,5.0,34324238.0
1983,Utah,1692141,1100143,15381,0.0,916915,8455,0.0,1696295.0
1983,Vermont,1346385,416480,32328,2.0,353527,8084,2.0,1332706.0
1983,Virginia,11475099,4479522,25617,6.0,3807377,139,6.0,11619849.0
1983,Washington,9424359,3414554,27601,5.0,2939117,2065,6.0,9384053.0
1983,West Virginia,2698920,1535973,17571,0.0,1311219,583,0.0,2753341.0
1983,Wisconsin,12560292,3747536,33516,2.0,3174372,9568,2.0,12590056.0
1983,Wyoming,1145511,380837,30079,4.0,324434,5308,4.0,1146831.0
1983,Northeast Region,111415245,40378638,27593,,34524602,2271,,11008114.0
1983,Midwest Region,117869649,46362333,25424,,39435437,9889,,18759640.0
1983,South Region,158581608,62868950,25224,,53472921,9656,,60663362.0
1983,West Region,112633722,36356036,30981,,31166272,6140,,11607221.0
1983,United States,500500224,185965957,26914,,158599232,1558,,2035247.0
1984,Alabama,5966214,3116641,19143,9.0,2644095,2564,9.0,6048982.0
1984,Alaska,1425747,383294,37197,1.0,324099,3991,1.0,1416140.0
1984,Arizona,7353802,2420813,30377,3.0,2078538,5380,2.0,7334109.0
1984,Arkansas,3292067,1832564,17964,0.0,1565806,1025,0.0,3372571.0
1984,California,65250624,20647308,31602,2.0,17816820,6623,2.0,63899753.0
1984,Colorado,7769183,2508009,30977,2.0,2160528,5960,2.0,7704685.0
1984,Connecticut,7306029,2623889,27844,5.0,2250936,2458,5.0,7143276.0
1984,Delaware,1571446,491153,31995,2.0,418726,7529,2.0,1562301.0
1984,District of Columbia,2781921,537836,51724,1.0,471768,8968,1.0,2747437.0
1984,Florida,28310685,9165739,30888,2.0,8058480,5132,3.0,28234667.0
1984,Georgia,11387477,4588803,24816,7.0,3887780,9290,7.0,11452345.0
1984,Hawaii,2416667,808164,29903,3.0,694444,4800,3.0,2398948.0
1984,Idaho,1808797,738500,24493,7.0,626522,8870,7.0,1807596.0
1984,Illinois,25299201,9043474,27975,4.0,7740257,2685,5.0,25293842.0
1984,Indiana,9499986,4306242,22061,8.0,3665919,5914,8.0,9565245.0
1984,Iowa,4820719,2267672,21258,9.0,1943560,4804,9.0,4858537.0
1984,Kansas,3762541,1918256,19614,9.0,1659376,2674,9.0,3791221.0
1984,Kentucky,5437742,2906994,18706,0.0,2471140,2005,0.0,5521396.0
1984,Louisiana,8972702,3370325,26623,6.0,2820304,1815,5.0,9100128.0
1984,Maine,2376790,924090,25720,6.0,788327,150,6.0,2338145.0
1984,Maryland,10070781,3543693,28419,4.0,3024759,3294,4.0,10075207.0
1984,Massachusetts,14581957,4834843,30160,3.0,4146189,5170,3.0,14308459.0
1984,Michigan,18679200,7147198,26135,6.0,6053440,857,6.0,18587428.0
1984,Minnesota,8846616,3291237,26879,5.0,2816937,1405,5.0,8795179.0
1984,Mississippi,4080360,1965506,20760,9.0,1635309,4952,9.0,4166374.0
1984,Missouri,9080874,3966543,22894,8.0,3413579,6602,8.0,9162250.0
1984,Montana,1885738,635878,29656,3.0,544497,4633,3.0,1886285.0
1984,Nebraska,3034943,1247824,24322,7.0,1074480,8246,7.0,3048467.0
1984,Nevada,3791164,743283,51006,1.0,646273,8662,1.0,3723951.0
1984,New Hampshire,3872295,787180,49192,1.0,674894,7376,1.0,3800931.0
1984,New Jersey,17380580,6157057,28229,4.0,5288714,2864,4.0,17130483.0
1984,New Mexico,2982843,1079374,27635,5.0,908766,2823,4.0,3009320.0
1984,New York,38623884,14467283,26697,5.0,12411163,1120,6.0,38354162.0
1984,North Carolina,10578713,4960199,21327,8.0,4231872,4998,8.0,10766135.0
1984,North Dakota,1355051,528350,25647,6.0,450900,52,6.0,1349268.0
1984,Ohio,19352244,8519029,22716,8.0,7283440,6570,8.0,19495299.0
1984,Oklahoma,4919037,2575414,19100,0.0,2214035,2218,0.0,4979147.0
1984,Oregon,5579620,2119738,26322,6.0,1840726,312,6.0,5558066.0
1984,Pennsylvania,21846393,9647293,22645,8.0,8309637,6290,8.0,22078117.0
1984,Rhode Island,2317663,794447,29173,3.0,682056,3981,3.0,2286650.0
1984,South Carolina,6478197,2572308,25184,7.0,2169755,9857,7.0,6516801.0
1984,South Dakota,1266335,539997,23451,7.0,461707,7427,7.0,1268275.0
1984,Tennessee,7367109,3744935,19672,9.0,3207102,2971,9.0,7447893.0
1984,Texas,34633101,12362522,28015,4.0,10508703,2957,4.0,35037477.0
1984,Utah,1738882,1123029,15484,0.0,938918,8520,0.0,1727694.0
1984,Vermont,1323905,420153,31510,2.0,357811,7000,2.0,1308252.0
1984,Virginia,11646036,4562738,25524,6.0,3898925,9870,6.0,11693795.0
1984,Washington,9355707,3459930,27040,5.0,2992221,1267,5.0,9226123.0
1984,West Virginia,2597123,1528356,16993,0.0,1307770,9859,0.0,2634227.0
1984,Wisconsin,12100609,3765711,32134,1.0,3208047,7720,1.0,12109015.0
1984,Wyoming,1090702,376869,28941,4.0,322132,3859,4.0,1085540.0
1984,Northeast Region,109629496,40656235,26965,,34909727,1404,,8710269.0
1984,Midwest Region,117098319,46541533,25160,,39771642,9443,,17296110.0
1984,South Region,160090711,63825726,25082,,54536329,9355,,61349480.0
1984,West Region,112449476,37044189,30355,,31894484,5257,,10824591.0
1984,United States,499268002,188067683,26547,,161112182,989,,98043727.0
1985,Alabama,6028371,3145597,19164,9.0,2676893,2520,9.0,6001817.0
1985,Alaska,1451911,394999,36757,1.0,335365,3293,1.0,1406853.0
1985,Arizona,7815569,2515573,31069,2.0,2166672,6072,2.0,7604795.0
1985,Arkansas,3253218,1843036,17651,0.0,1580495,584,0.0,3263640.0
1985,California,65744521,21135284,31107,2.0,18294710,5936,2.0,62642906.0
1985,Colorado,8062918,2542464,31713,2.0,2196961,6700,2.0,7754406.0
1985,Connecticut,7429828,2647593,28063,4.0,2283718,2534,4.0,7169634.0
1985,Delaware,1591363,497560,31983,2.0,426392,7322,2.0,1545769.0
1985,District of Columbia,2586973,539349,47965,1.0,473640,4619,1.0,2517902.0
1985,Florida,28716511,9437892,30427,3.0,8329610,4475,3.0,28054175.0
1985,Georgia,11477705,4706056,24389,7.0,4001095,8686,7.0,11310279.0
1985,Hawaii,2378259,818348,29062,3.0,706196,3677,3.0,2319454.0
1985,Idaho,1810061,743809,24335,7.0,632226,8630,7.0,1760484.0
1985,Illinois,24958406,9057316,27556,5.0,7778927,2085,5.0,24355625.0
1985,Indiana,9529956,4325172,22034,8.0,3693931,5799,8.0,9341681.0
1985,Iowa,4633149,2250090,20591,9.0,1935820,3934,9.0,4519129.0
1985,Kansas,3783844,1920359,19704,9.0,1666303,2708,9.0,3730760.0
1985,Kentucky,5489728,2919870,18801,0.0,2490637,2041,0.0,5458593.0
1985,Louisiana,8525728,3378124,25238,6.0,2838905,32,6.0,8484616.0
1985,Maine,2392295,932884,25644,6.0,799346,9928,6.0,2301455.0
1985,Maryland,10060616,3590622,28019,4.0,3084597,2616,4.0,9895031.0
1985,Massachusetts,14512890,4879996,29740,3.0,4202448,4534,3.0,13986209.0
1985,Michigan,18630383,7200460,25874,6.0,6122007,432,5.0,18044651.0
1985,Minnesota,8901020,3318424,26823,5.0,2854911,1178,5.0,8614989.0
1985,Mississippi,4087359,1977320,20671,9.0,1649669,4777,9.0,4118239.0
1985,Missouri,9463358,3992678,23702,7.0,3448193,7444,7.0,9343041.0
1985,Montana,1808589,636759,28403,4.0,547363,3042,4.0,1769080.0
1985,Nebraska,2975190,1245584,23886,7.0,1076406,7640,7.0,2917356.0
1985,Nevada,3823831,766057,49916,1.0,669567,7109,1.0,3670684.0
1985,New Hampshire,3820842,806427,47380,1.0,694197,5040,1.0,3693694.0
1985,New Jersey,17357236,6216335,27922,4.0,5367554,2337,4.0,16780420.0
1985,New Mexico,3114055,1098274,28354,4.0,930035,3483,4.0,3056566.0
1985,New York,37957602,14535157,26114,5.0,12517744,323,6.0,36873301.0
1985,North Carolina,10783356,5056365,21326,8.0,4326834,4922,8.0,10700794.0
1985,North Dakota,1312464,525663,24968,7.0,450589,9128,7.0,1273366.0
1985,Ohio,18887946,8548349,22095,8.0,7330608,5766,8.0,18536431.0
1985,Oklahoma,4816440,2565531,18774,0.0,2210955,1784,0.0,4803909.0
1985,Oregon,5500645,2130433,25819,6.0,1854605,9659,6.0,5334822.0
1985,Pennsylvania,21526856,9637151,22337,8.0,8331900,5837,8.0,21331869.0
1985,Rhode Island,2351866,802282,29315,3.0,690764,4047,3.0,2286111.0
1985,South Carolina,6592263,2607447,25282,6.0,2209213,9840,6.0,6491906.0
1985,South Dakota,1273260,540753,23546,8.0,464622,7404,8.0,1242080.0
1985,Tennessee,7446885,3787577,19661,9.0,3254400,2883,9.0,7369223.0
1985,Texas,34111239,12586758,27101,5.0,10724120,1808,5.0,33557416.0
1985,Utah,1794672,1142188,15713,0.0,954831,8796,0.0,1749420.0
1985,Vermont,1344456,424183,31695,2.0,362355,7103,2.0,1285875.0
1985,Virginia,11760291,4633520,25381,6.0,3976336,9576,6.0,11563938.0
1985,Washington,9386122,3508905,26749,5.0,3044009,835,5.0,9024060.0
1985,West Virginia,2563357,1521116,16852,0.0,1304258,9654,0.0,2544543.0
1985,Wisconsin,12105887,3781195,32016,1.0,3237181,7396,1.0,11839012.0
1985,Wyoming,1082208,374110,28928,3.0,320376,3779,3.0,1047321.0
1985,Northeast Region,108693871,40882008,26587,,35250026,835,,5761143.0
1985,Midwest Region,116454863,46706043,24934,,40059498,9070,,13747046.0
1985,South Region,159891403,64793740,24677,,55558049,8779,,57704042.0
1985,West Region,113773361,37807203,30093,,32652916,4843,,9110756.0
1985,United States,498813498,190188994,26227,,163520489,505,,86119518.0
1986,Alabama,6092468,3167463,19235,9.0,2704716,2525,9.0,6131791.0
1986,Alaska,1383532,401572,34453,1.0,342373,410,1.0,1351483.0
1986,Arizona,8090423,2619399,30887,2.0,2265601,5710,2.0,7922940.0
1986,Arkansas,3064296,1851950,16546,0.0,1594576,9217,0.0,3108043.0
1986,California,66629432,21634764,30797,2.0,18789091,5462,2.0,63561739.0
1986,Colorado,7445528,2563271,29047,3.0,2222869,3495,3.0,7229943.0
1986,Connecticut,7342131,2664947,27551,4.0,2313743,1733,4.0,7130048.0
1986,Delaware,1597009,505347,31602,2.0,435547,6667,2.0,1556440.0
1986,District of Columbia,2459477,542025,45376,1.0,476331,1634,1.0,2387287.0
1986,Florida,28713776,9694158,29620,2.0,8587201,3438,3.0,28107774.0
1986,Georgia,11679135,4813095,24265,7.0,4109390,8421,7.0,11560150.0
1986,Hawaii,2420000,831288,29111,3.0,721463,3543,3.0,2372782.0
1986,Idaho,1761626,742683,23720,7.0,632555,7849,7.0,1720640.0
1986,Illinois,24638198,9051106,27221,5.0,7803576,1573,4.0,24053898.0
1986,Indiana,9383945,4333494,21654,8.0,3714430,5263,8.0,9213652.0
1986,Iowa,4651344,2223642,20918,9.0,1921516,4207,9.0,4575597.0
1986,Kansas,3674804,1925542,19085,9.0,1677184,1911,9.0,3640983.0
1986,Kentucky,5453908,2925108,18645,0.0,2504859,1773,0.0,5471488.0
1986,Louisiana,8360123,3379262,24739,6.0,2855013,9282,6.0,8381483.0
1986,Maine,2414309,940382,25674,6.0,809714,9817,5.0,2334923.0
1986,Maryland,9974149,3652500,27308,4.0,3160076,1563,5.0,9875432.0
1986,Massachusetts,14307383,4897509,29214,3.0,4239200,3750,2.0,13844780.0
1986,Michigan,18671600,7260629,25716,5.0,6202426,104,5.0,18217698.0
1986,Minnesota,8581916,3335187,25731,5.0,2886105,9735,6.0,8331608.0
1986,Mississippi,4107064,1988081,20658,9.0,1664675,4672,9.0,4158487.0
1986,Missouri,9590063,4013429,23895,7.0,3479910,7558,7.0,9531400.0
1986,Montana,1741216,630940,27597,4.0,544972,1951,4.0,1712748.0
1986,Nebraska,2881802,1237428,23289,7.0,1073008,6857,7.0,2852417.0
1986,Nevada,3931802,790957,49709,1.0,695102,6564,1.0,3797814.0
1986,New Hampshire,3745920,829280,45171,1.0,717200,2230,1.0,3652648.0
1986,New Jersey,17334369,6266923,27660,3.0,5444919,1836,4.0,16884548.0
1986,New Mexico,3056245,1118822,27317,4.0,952965,2071,3.0,3023778.0
1986,New York,36902724,14574012,25321,6.0,12618897,9244,6.0,35917690.0
1986,North Carolina,10993376,5122054,21463,8.0,4398417,4994,8.0,10977407.0
1986,North Dakota,1267213,519882,24375,7.0,447568,8313,7.0,1238250.0
1986,Ohio,18648892,8564640,21774,8.0,7373170,5293,8.0,18418186.0
1986,Oklahoma,4696259,2555340,18378,0.0,2208059,1269,0.0,4743163.0
1986,Oregon,5506268,2142875,25696,6.0,1871734,9418,6.0,5381210.0
1986,Pennsylvania,21702858,9649124,22492,8.0,8378353,5903,8.0,21753427.0
1986,Rhode Island,2305538,808994,28499,3.0,699495,2960,3.0,2239678.0
1986,South Carolina,6665189,2645481,25195,6.0,2249731,9627,6.0,6615053.0
1986,South Dakota,1230696,538040,22874,8.0,464290,6507,8.0,1205934.0
1986,Tennessee,7552157,3816436,19789,9.0,3291105,2947,9.0,7554608.0
1986,Texas,33727328,12802347,26345,5.0,10932326,851,5.0,33445362.0
1986,Utah,1822014,1160060,15706,0.0,969164,8800,0.0,1793786.0
1986,Vermont,1379016,427743,32239,1.0,366827,7593,1.0,1321467.0
1986,Virginia,11887061,4717203,25199,6.0,4066966,9228,6.0,11844200.0
1986,Washington,9460476,3552865,26628,5.0,3094849,568,5.0,9106213.0
1986,West Virginia,2525289,1508185,16744,0.0,1295951,9486,0.0,2537528.0
1986,Wisconsin,12024483,3783341,31783,2.0,3257257,6916,2.0,11868145.0
1986,Wyoming,1012995,371021,27303,4.0,317963,1859,4.0,990138.0
1986,Northeast Region,107434248,41058914,26166,,35588348,188,,5036958.0
1986,Midwest Region,115244956,46786360,24632,,40300440,8596,,13109815.0
1986,South Region,159548064,65686035,24289,,56534939,8221,,58424324.0
1986,West Region,114261557,38560517,29632,,33420701,4189,,9989501.0
1986,United States,496488825,192091826,25846,,165844428,9937,,86632092.0
1987,Alabama,6106389,3191645,19132,9.0,2732957,2344,9.0,6050707.0
1987,Alaska,1335467,395152,33796,1.0,338048,9505,1.0,1287943.0
1987,Arizona,7955505,2716244,29289,2.0,2354712,3785,2.0,7649535.0
1987,Arkansas,3231168,1861217,17361,0.0,1606160,117,0.0,3194058.0
1987,California,66386447,22120131,30012,2.0,19256147,4475,2.0,62868934.0
1987,Colorado,7304103,2574645,28369,3.0,2238404,2631,3.0,6992961.0
1987,Connecticut,7361323,2680288,27465,3.0,2342982,1419,3.0,7047306.0
1987,Delaware,1603647,513351,31239,2.0,445121,6027,2.0,1535564.0
1987,District of Columbia,2496966,540042,46237,1.0,475309,2534,1.0,2402568.0
1987,Florida,29344522,9958406,29467,2.0,8849841,3158,2.0,28329481.0
1987,Georgia,12204754,4916848,24822,6.0,4213449,8966,6.0,11907393.0
1987,Hawaii,2338714,846935,27614,3.0,739150,1641,3.0,2278803.0
1987,Idaho,1711041,740853,23096,7.0,632137,7068,7.0,1653040.0
1987,Illinois,24570826,9057451,27128,4.0,7839542,1342,4.0,23600314.0
1987,Indiana,9397852,4354395,21582,8.0,3743183,5107,8.0,9101569.0
1987,Iowa,4728121,2206108,21432,8.0,1914558,4696,8.0,4551082.0
1987,Kansas,3619597,1930338,18751,9.0,1684615,1486,9.0,3516821.0
1987,Kentucky,5221301,2929691,17822,0.0,2516957,744,0.0,5129383.0
1987,Louisiana,8024889,3329969,24099,7.0,2825248,8404,7.0,7909446.0
1987,Maine,2436745,952478,25583,5.0,824111,9568,5.0,2315955.0
1987,Maryland,10064679,3708686,27138,4.0,3230763,1153,4.0,9771374.0
1987,Massachusetts,14176570,4915859,28838,3.0,4276977,3146,3.0,13490182.0
1987,Michigan,18369235,7312182,25121,6.0,6274631,9275,6.0,17696194.0
1987,Minnesota,8662028,3353630,25829,5.0,2917030,9695,5.0,8311875.0
1987,Mississippi,4057179,1991119,20376,9.0,1671853,4268,9.0,4047849.0
1987,Missouri,9633462,4039080,23851,7.0,3513310,7420,7.0,9416219.0
1987,Montana,1684589,624518,26974,4.0,541518,1109,4.0,1637437.0
1987,Nebraska,2867206,1230857,23294,7.0,1070271,6790,7.0,2794006.0
1987,Nevada,4033225,824509,48917,1.0,727733,5422,1.0,3846597.0
1987,New Hampshire,3766808,852166,44203,1.0,740669,857,1.0,3623768.0
1987,New Jersey,17113452,6299225,27168,4.0,5506410,1079,4.0,16454739.0
1987,New Mexico,3036402,1130495,26859,4.0,966854,1405,4.0,2956853.0
1987,New York,36682434,14586881,25148,6.0,12696932,8891,6.0,35303584.0
1987,North Carolina,10885746,5196532,20948,9.0,4476340,4318,9.0,10720740.0
1987,North Dakota,1265338,513183,24657,6.0,443009,8562,6.0,1217360.0
1987,Ohio,18710412,8592426,21775,8.0,7424636,5200,8.0,18143472.0
1987,Oklahoma,4520053,2519074,17943,0.0,2178986,744,0.0,4502753.0
1987,Oregon,5488131,2158704,25423,5.0,1891858,9009,6.0,5302515.0
1987,Pennsylvania,21479830,9665766,22223,8.0,8428742,5484,8.0,21187275.0
1987,Rhode Island,2316869,817609,28337,3.0,709730,2644,3.0,2217749.0
1987,South Carolina,6744217,2680841,25157,6.0,2287205,9487,5.0,6590007.0
1987,South Dakota,1228444,538050,22831,8.0,465813,6372,8.0,1184906.0
1987,Tennessee,7592279,3860393,19667,9.0,3338953,2739,9.0,7481810.0
1987,Texas,32365503,12837984,25211,6.0,10980564,9475,6.0,31632020.0
1987,Utah,1737571,1169534,14857,0.0,974114,7837,0.0,1688416.0
1987,Vermont,1373028,432401,31754,1.0,372154,6894,1.0,1301727.0
1987,Virginia,11291692,4809743,23477,7.0,4163505,7121,7.0,11078003.0
1987,Washington,9358502,3610142,25923,5.0,3155763,9655,5.0,8927136.0
1987,West Virginia,2512364,1494993,16805,0.0,1286920,9522,0.0,2484688.0
1987,Wisconsin,11898994,3794453,31359,2.0,3283804,6235,2.0,11523210.0
1987,Wyoming,951628,357310,26633,5.0,306539,1044,5.0,918520.0
1987,Northeast Region,106707059,41202673,25898,,35898707,9724,,2887622.0
1987,Midwest Region,114951515,46922153,24498,,40574402,8331,,11103836.0
1987,South Region,158267348,66340534,23857,,57280131,7630,,54736443.0
1987,West Region,113321325,39269172,28858,,34122977,3210,,8092468.0
1987,United States,493247247,193734532,25460,,167876217,9382,,76713810.0
1988,Alabama,6150255,3200489,19217,9.0,2746074,2397,9.0,6095214.0
1988,Alaska,1280291,399336,32060,1.0,344012,7216,1.0,1231404.0
1988,Arizona,8002367,2790185,28680,2.0,2424483,3006,2.0,7682243.0
1988,Arkansas,3306003,1860362,17771,0.0,1607714,563,0.0,3248102.0
1988,California,64698131,22604834,28621,3.0,19713966,2818,2.0,61443382.0
1988,Colorado,7108350,2572863,27628,3.0,2243550,1683,3.0,6820399.0
1988,Connecticut,7184152,2693217,26675,4.0,2368280,335,4.0,6888400.0
1988,Delaware,1607172,521331,30828,1.0,454304,5377,1.0,1541725.0
1988,District of Columbia,2250431,533774,42161,1.0,470331,7848,1.0,2160682.0
1988,Florida,29616518,10179269,29095,2.0,9069678,2654,3.0,28628443.0
1988,Georgia,11928507,4995813,23877,7.0,4293243,7784,7.0,11649436.0
1988,Hawaii,2480389,857150,28938,2.0,750977,3029,2.0,2406042.0
1988,Idaho,1666795,743374,22422,7.0,634929,6252,7.0,1603459.0
1988,Illinois,24478578,9060735,27016,3.0,7873155,1091,4.0,23590001.0
1988,Indiana,9331643,4371330,21347,8.0,3767241,4770,8.0,9031299.0
1988,Iowa,4539584,2207943,20560,9.0,1921733,3622,9.0,4365778.0
1988,Kansas,3722344,1940793,19180,9.0,1695802,1950,9.0,3569784.0
1988,Kentucky,5333303,2934743,18173,0.0,2528836,1090,0.0,5248803.0
1988,Louisiana,8024871,3284414,24433,6.0,2796335,8698,6.0,7905726.0
1988,Maine,2471959,968023,25536,5.0,841301,9383,5.0,2347800.0
1988,Maryland,9785532,3768580,25966,4.0,3303491,9622,5.0,9511291.0
1988,Massachusetts,13903201,4944471,28119,3.0,4323664,2156,3.0,13216919.0
1988,Michigan,18172143,7327447,24800,6.0,6313429,8783,5.0,17550420.0
1988,Minnesota,8526683,3393687,25125,5.0,2962640,8781,6.0,8175169.0
1988,Mississippi,4093002,1990246,20565,9.0,1675449,4429,8.0,4080607.0
1988,Missouri,9370774,4053991,23115,7.0,3535873,6502,7.0,9147362.0
1988,Montana,1676921,621325,26989,4.0,540433,1029,4.0,1630340.0
1988,Nebraska,2835290,1234019,22976,7.0,1074727,6381,7.0,2760393.0
1988,Nevada,4142713,862687,48021,1.0,764129,4215,1.0,3966733.0
1988,New Hampshire,3778882,870949,43388,1.0,759845,9732,1.0,3629959.0
1988,New Jersey,16318309,6321158,25815,4.0,5556470,9368,5.0,15715617.0
1988,New Mexico,3037333,1136631,26722,4.0,974954,1154,3.0,2958760.0
1988,New York,35807985,14622255,24489,6.0,12785987,8006,6.0,34529813.0
1988,North Carolina,10932950,5257220,20796,8.0,4541666,4073,9.0,10751366.0
1988,North Dakota,1265024,509863,24811,6.0,441252,8669,6.0,1223991.0
1988,Ohio,18364338,8616719,21312,8.0,7470055,4584,8.0,17794412.0
1988,Oklahoma,4308284,2488333,17314,0.0,2155543,9987,0.0,4296289.0
1988,Oregon,5532723,2192700,25232,5.0,1927060,8711,6.0,5339607.0
1988,Pennsylvania,20682748,9678698,21369,8.0,8473153,4410,8.0,20458593.0
1988,Rhode Island,2320469,821522,28246,3.0,715770,2419,3.0,2222627.0
1988,South Carolina,6877152,2704909,25425,5.0,2313381,9728,4.0,6735623.0
1988,South Dakota,1188991,538997,22059,8.0,467229,5448,8.0,1151269.0
1988,Tennessee,7676586,3887285,19748,9.0,3368305,2791,9.0,7574905.0
1988,Texas,31831106,12861216,24750,6.0,11020082,8885,5.0,31107273.0
1988,Utah,1708209,1181437,14459,0.0,981742,7400,0.0,1663533.0
1988,Vermont,1342450,439781,30525,2.0,379897,5337,2.0,1271476.0
1988,Virginia,10945616,4886754,22399,7.0,4246653,5775,7.0,10724224.0
1988,Washington,9246650,3689367,25063,6.0,3234177,8590,6.0,8827931.0
1988,West Virginia,2483996,1477521,16812,0.0,1274384,9492,0.0,2459662.0
1988,Wisconsin,11649197,3824576,30459,2.0,3323980,5046,2.0,11301552.0
1988,Wyoming,899451,350762,25643,5.0,301605,9822,4.0,868282.0
1988,Northeast Region,103810155,41360074,25099,,36204367,8673,,294298.0
1988,Midwest Region,113444589,47080100,24096,,40847116,7773,,9703897.0
1988,South Region,157151284,66832259,23514,,57865469,7158,,53722144.0
1988,West Region,111480323,40002651,27868,,34836017,2001,,6386043.0
1988,United States,485886351,195275084,24882,,169752969,8623,,69879808.0
1989,Alabama,6096169,3207335,19007,9.0,2756569,2115,9.0,6021195.0
1989,Alaska,1274028,404615,31487,1.0,350204,6380,1.0,1227396.0
1989,Arizona,7989413,2847399,28059,2.0,2476502,2261,2.0,7708145.0
1989,Arkansas,3386444,1863393,18174,9.0,1612036,1007,9.0,3326709.0
1989,California,63545545,23139790,27462,3.0,20199049,1460,3.0,60482415.0
1989,Colorado,6826377,2583877,26419,3.0,2259089,217,3.0,6563787.0
1989,Connecticut,6728652,2694412,24973,4.0,2381426,8255,5.0,6452001.0
1989,Delaware,1566070,529314,29587,2.0,462552,3857,2.0,1508316.0
1989,District of Columbia,2067474,527027,39229,1.0,464363,4523,1.0,1984921.0
