Year,State,Type of beverage,Gallons of beverage,Gallons of ethanol (absolute alcohol),Population (age 14 and older),Gallons of ethanol per capita age 14 and older,Decile for per capita consumption age 14 and older,Population (age 21 and older),Gallons of ethanol per capita age 21 and older,Decile for per capita consumption age 21 and older,Type of data source,Time-varying alcohol by volume (ABV),Gallons of ethanol derived from time-varying ABV
1982,Alaska,Spirits,1379000,566769,336935,16821,1,281749,0116,1,N/A,93,541947
1982,Alaska,Wine,1419000,183051,336935,5433,2,281749,6497,2,N/A,35,191565
1982,Alaska,Beer,12671000,570195,336935,16923,2,281749,0238,2,N/A,48,608208
1982,Alaska,All beverages,N/A,1320015,336935,39177,1,281749,6851,1,N/A,N/A,1341720
1982,Arizona,Spirits,5398000,2218578,2271324,9768,6,1930488,1492,6,N/A,01,2164598
1982,Arizona,Wine,6851000,883779,2271324,3891,4,1930488,4578,4,N/A,27,870077
1982,Arizona,Beer,86249000,3881205,2271324,17088,2,1930488,0105,2,N/A,48,4139952
1982,Arizona,All beverages,N/A,6983562,2271324,30747,3,1930488,6175,3,N/A,N/A,7174627
1982,Arkansas,Spirits,2738000,1125318,1800470,6250,0,1522602,7391,0,N/A,08,1117104
1982,Arkansas,Wine,1730000,223170,1800470,1240,0,1522602,1466,0,N/A,45,250850
1982,Arkansas,Beer,41077000,1848465,1800470,10267,0,1522602,2140,0,N/A,48,1971696
1982,Arkansas,All beverages,N/A,3196953,1800470,17756,0,1522602,0997,0,N/A,N/A,3339650
1982,California,Spirits,54712000,22486632,19813692,11349,3,16947274,3269,3,N/A,99,21830088
1982,California,Wine,109873000,14173617,19813692,7153,1,16947274,8363,1,N/A,21,13294633
1982,California,Beer,601987000,27089415,19813692,13672,6,16947274,5985,6,N/A,48,28895376
1982,California,All beverages,N/A,63749664,19813692,32175,3,16947274,7616,3,N/A,N/A,64020097
1982,Colorado,Spirits,6906000,2838366,2418801,11735,3,2062323,3763,3,N/A,00,2762400
1982,Colorado,Wine,8658000,1116882,2418801,4618,3,2062323,5416,3,N/A,21,1047618
1982,Colorado,Beer,87579000,3941055,2418801,16293,3,2062323,9110,3,N/A,48,4203792
1982,Colorado,All beverages,N/A,7896303,2418801,32646,2,2062323,8288,2,N/A,N/A,8013810
1982,Connecticut,Spirits,7569000,3110859,2570746,12101,2,2183824,4245,2,N/A,95,2989755
1982,Connecticut,Wine,9834000,1268586,2570746,4935,3,2183824,5809,3,N/A,23,1209582
1982,Connecticut,Beer,59484000,2676780,2570746,10412,0,2183824,2257,0,N/A,48,2855232
1982,Connecticut,All beverages,N/A,7056225,2570746,27448,6,2183824,2311,6,N/A,N/A,7054569
1982,Delaware,Spirits,1604000,659244,479280,13755,1,403059,6356,1,N/A,00,641600
1982,Delaware,Wine,1262000,162798,479280,3397,4,403059,4039,5,N/A,26,159012
1982,Delaware,Beer,16431000,739395,479280,15427,3,403059,8345,3,N/A,48,788688
1982,Delaware,All beverages,N/A,1561437,479280,32579,2,403059,8740,2,N/A,N/A,1589300
1982,District of Columbia,Spirits,3740000,1537140,534636,28751,1,464035,3126,1,N/A,08,1525920
1982,District of Columbia,Wine,4108000,529932,534636,9912,1,464035,1420,1,N/A,23,505284
1982,District of Columbia,Beer,17341000,780345,534636,14596,4,464035,6817,5,N/A,48,832368
1982,District of Columbia,All beverages,N/A,2847417,534636,53259,1,464035,1362,1,N/A,N/A,2863572
1982,Florida,Spirits,27855000,11448405,8651693,13233,2,7532849,5198,2,N/A,06,11309130
1982,Florida,Wine,26558000,3425982,8651693,3960,4,7532849,4548,4,N/A,19,3160402
1982,Florida,Beer,296869000,13359105,8651693,15441,3,7532849,7734,3,N/A,48,14249712
1982,Florida,All beverages,N/A,28233492,8651693,32633,2,7532849,7480,3,N/A,N/A,28719244
1982,Georgia,Spirits,11098000,4561278,4406193,10352,5,3692987,2351,5,N/A,10,4550180
1982,Georgia,Wine,7169000,924801,4406193,2099,7,3692987,2504,7,N/A,23,881787
1982,Georgia,Beer,109537000,4929165,4406193,11187,9,3692987,3347,9,N/A,48,5257776
1982,Georgia,All beverages,N/A,10415244,4406193,23638,8,3692987,8203,7,N/A,N/A,10689743
1982,Hawaii,Spirits,2155000,885705,779356,11365,3,662896,3361,3,N/A,00,862000
1982,Hawaii,Wine,2879000,371391,779356,4765,3,662896,5603,3,N/A,18,339722
1982,Hawaii,Beer,31149000,1401705,779356,17985,2,662896,1145,2,N/A,48,1495152
1982,Hawaii,All beverages,N/A,2658801,779356,34115,1,662896,0109,1,N/A,N/A,2696874
1982,Idaho,Spirits,1420000,583620,723510,8067,8,607782,9602,8,N/A,02,570840
1982,Idaho,Wine,1704000,219816,723510,3038,5,607782,3617,5,N/A,17,199368
1982,Idaho,Beer,23390000,1052550,723510,14548,4,607782,7318,4,N/A,48,1122720
1982,Idaho,All beverages,N/A,1855986,723510,25653,7,607782,0537,7,N/A,N/A,1892928
1982,Illinois,Spirits,23404000,9619044,9025106,10658,4,7646856,2579,4,N/A,01,9385004
1982,Illinois,Wine,24658000,3180882,9025106,3524,4,7646856,4160,4,N/A,26,3106908
1982,Illinois,Beer,284165000,12787425,9025106,14169,5,7646856,6722,5,N/A,48,13639920
1982,Illinois,All beverages,N/A,25587351,9025106,28351,5,7646856,3461,5,N/A,N/A,26131832
1982,Indiana,Spirits,7898000,3246078,4282806,7579,8,3608210,8996,8,N/A,03,3182894
1982,Indiana,Wine,6149000,793221,4282806,1852,8,3608210,2198,8,N/A,27,780923
1982,Indiana,Beer,123163000,5542335,4282806,12941,7,3608210,5360,7,N/A,48,5911824
1982,Indiana,All beverages,N/A,9581634,4282806,22372,8,3608210,6555,8,N/A,N/A,9875641
1982,Iowa,Spirits,3632000,1492752,2281426,6543,0,1933412,7721,0,N/A,97,1441904
1982,Iowa,Wine,2304000,297216,2281426,1303,0,1933412,1537,0,N/A,21,278784
1982,Iowa,Beer,71060000,3197700,2281426,14016,5,1933412,6539,5,N/A,48,3410880
1982,Iowa,All beverages,N/A,4987668,2281426,21862,8,1933412,5797,8,N/A,N/A,5131568
1982,Kansas,Spirits,3109000,1277799,1899064,6729,9,1624231,7867,9,N/A,05,1259145
1982,Kansas,Wine,1917000,247293,1899064,1302,0,1624231,1523,0,N/A,25,239625
1982,Kansas,Beer,51597000,2321865,1899064,12226,8,1624231,4295,8,N/A,48,2476656
1982,Kansas,All beverages,N/A,3846957,1899064,20257,9,1624231,3685,9,N/A,N/A,3975426
1982,Kentucky,Spirits,5069000,2083359,2880773,7232,9,2421438,8604,9,N/A,07,2063083
1982,Kentucky,Wine,2753000,355137,2880773,1233,0,2421438,1467,0,N/A,27,349631
1982,Kentucky,Beer,72970000,3283650,2880773,11399,9,2421438,3561,9,N/A,48,3502560
1982,Kentucky,All beverages,N/A,5722146,2880773,19863,9,2421438,3631,9,N/A,N/A,5915274
1982,Louisiana,Spirits,8067000,3315537,3327077,9965,5,2753718,2040,5,N/A,08,3291336
1982,Louisiana,Wine,7637000,985173,3327077,2961,6,2753718,3578,6,N/A,28,977536
1982,Louisiana,Beer,110041000,4951845,3327077,14883,4,2753718,7982,3,N/A,48,5281968
1982,Louisiana,All beverages,N/A,9252555,3327077,27810,5,2753718,3600,4,N/A,N/A,9550840
1982,Maine,Spirits,2240000,920640,903044,10195,5,761353,2092,5,N/A,92,878080
1982,Maine,Wine,2120000,273480,903044,3028,5,761353,3592,6,N/A,19,252280
1982,Maine,Beer,26110000,1174950,903044,13011,7,761353,5432,6,N/A,48,1253280
1982,Maine,All beverages,N/A,2369070,903044,26234,6,761353,1117,6,N/A,N/A,2383640
1982,Maryland,Spirits,9785000,4021635,3456569,11635,3,2915377,3795,3,N/A,02,3933570
1982,Maryland,Wine,8650000,1115850,3456569,3228,5,2915377,3827,5,N/A,26,1089900
1982,Maryland,Beer,97624000,4393080,3456569,12709,7,2915377,5069,7,N/A,48,4685952
1982,Maryland,All beverages,N/A,9530565,3456569,27572,5,2915377,2691,5,N/A,N/A,9709422
1982,Massachusetts,Spirits,14121000,5803731,4741346,12241,2,4025322,4418,2,N/A,91,5521311
1982,Massachusetts,Wine,18210000,2349090,4741346,4954,3,4025322,5836,3,N/A,24,2258040
1982,Massachusetts,Beer,142754000,6423930,4741346,13549,6,4025322,5959,6,N/A,48,6852192
1982,Massachusetts,All beverages,N/A,14576751,4741346,30744,3,4025322,6213,3,N/A,N/A,14631543
1982,Michigan,Spirits,17148000,7047828,7139202,9872,6,5985561,1775,6,N/A,99,6842052
1982,Michigan,Wine,21377000,2757633,7139202,3863,4,5985561,4607,4,N/A,22,2607994
1982,Michigan,Beer,214705000,9661725,7139202,13533,6,5985561,6142,6,N/A,48,10305840
1982,Michigan,All beverages,N/A,19467186,7139202,27268,6,5985561,2524,6,N/A,N/A,19755886
1982,Minnesota,Spirits,8797000,3615567,3259082,11094,4,2750928,3143,4,N/A,01,3527597
1982,Minnesota,Wine,6912000,891648,3259082,2736,6,2750928,3241,6,N/A,21,836352
1982,Minnesota,Beer,98896000,4450320,3259082,13655,6,2750928,6178,6,N/A,48,4747008
1982,Minnesota,All beverages,N/A,8957535,3259082,27485,6,2750928,2562,6,N/A,N/A,9110957
1982,Mississippi,Spirits,3843000,1579473,1941705,8134,8,1599870,9873,7,N/A,10,1575630
1982,Mississippi,Wine,1649000,212721,1941705,1096,0,1599870,1330,0,N/A,33,219317
1982,Mississippi,Beer,50987000,2294415,1941705,11816,8,1599870,4341,8,N/A,48,2447376
1982,Mississippi,All beverages,N/A,4086609,1941705,21046,9,1599870,5543,9,N/A,N/A,4242323
1982,Missouri,Spirits,7541000,3099351,3918469,7910,8,3333227,9298,8,N/A,02,3031482
1982,Missouri,Wine,6533000,842757,3918469,2151,7,3333227,2528,7,N/A,30,849290
1982,Missouri,Beer,120724000,5432580,3918469,13864,5,3333227,6298,5,N/A,48,5794752
1982,Missouri,All beverages,N/A,9374688,3918469,23924,7,3333227,8125,7,N/A,N/A,9675524
1982,Montana,Spirits,1546000,635406,623686,10188,5,527587,2044,5,N/A,98,615308
1982,Montana,Wine,1560000,201240,623686,3227,5,527587,3814,5,N/A,19,185640
1982,Montana,Beer,25200000,1134000,623686,18182,1,527587,1494,1,N/A,48,1209600
1982,Montana,All beverages,N/A,1970646,623686,31597,3,527587,7352,3,N/A,N/A,2010548
1982,Nebraska,Spirits,1763000,724593,1241493,5836,0,1056274,6860,0,N/A,00,705200
1982,Nebraska,Wine,2703000,348687,1241493,2809,6,1056274,3301,6,N/A,22,329766
1982,Nebraska,Beer,41536000,1869120,1241493,15055,3,1056274,7695,4,N/A,48,1993728
1982,Nebraska,All beverages,N/A,2942400,1241493,23700,7,1056274,7856,8,N/A,N/A,3028694
1982,Nevada,Spirits,4288000,1762368,703987,25034,1,604543,9152,1,N/A,01,1719488
1982,Nevada,Wine,4198000,541542,703987,7693,1,604543,8958,1,N/A,20,503760
1982,Nevada,Beer,31230000,1405350,703987,19963,1,604543,3246,1,N/A,48,1499040
1982,Nevada,All beverages,N/A,3709260,703987,52689,1,604543,1356,1,N/A,N/A,3722288
1982,New Hampshire,Spirits,4328000,1778808,756934,23500,1,641924,7711,1,N/A,94,1705232
1982,New Hampshire,Wine,3434000,442986,756934,5852,1,641924,6901,1,N/A,23,422382
1982,New Hampshire,Beer,32001000,1440045,756934,19025,1,641924,2433,1,N/A,48,1536048
1982,New Hampshire,All beverages,N/A,3661839,756934,48377,1,641924,7045,1,N/A,N/A,3663662
1982,New Jersey,Spirits,16643000,6840273,6040056,11325,3,5135995,3318,3,N/A,99,6640557
1982,New Jersey,Wine,24394000,3146826,6040056,5210,2,5135995,6127,2,N/A,24,3024856
1982,New Jersey,Beer,163071000,7338195,6040056,12149,8,5135995,4288,8,N/A,48,7827408
1982,New Jersey,All beverages,N/A,17325294,6040056,28684,4,5135995,3733,4,N/A,N/A,17492821
1982,New Mexico,Spirits,2353000,967083,1035173,9342,6,859071,1257,6,N/A,99,938847
1982,New Mexico,Wine,2713000,349977,1035173,3381,5,859071,4074,4,N/A,28,347264
1982,New Mexico,Beer,39550000,1779750,1035173,17193,2,859071,0717,2,N/A,48,1898400
1982,New Mexico,All beverages,N/A,3096810,1035173,29916,4,859071,6048,4,N/A,N/A,3184511
1982,New York,Spirits,38460000,15807060,14268943,11078,4,12143053,3017,4,N/A,04,15537840
1982,New York,Wine,53131000,6853899,14268943,4803,3,12143053,5644,3,N/A,24,6588244
1982,New York,Beer,400138000,18006210,14268943,12619,8,12143053,4828,8,N/A,48,19206624
1982,New York,All beverages,N/A,40667169,14268943,28500,4,12143053,3490,5,N/A,N/A,41332708
1982,North Carolina,Spirits,9875000,4058625,4798175,8459,7,4053804,0012,7,N/A,12,4068500
1982,North Carolina,Wine,7924000,1022196,4798175,2130,7,4053804,2522,7,N/A,37,1085588
1982,North Carolina,Beer,114183000,5138235,4798175,10709,0,4053804,2675,0,N/A,48,5480784
1982,North Carolina,All beverages,N/A,10219056,4798175,21298,9,4053804,5209,9,N/A,N/A,10634872
1982,North Dakota,Spirits,1383000,568413,520433,10922,4,438751,2955,4,N/A,96,547668
1982,North Dakota,Wine,714000,92106,520433,1770,8,438751,2099,8,N/A,22,87108
1982,North Dakota,Beer,17554000,789930,520433,15178,3,438751,8004,3,N/A,48,842592
1982,North Dakota,All beverages,N/A,1450449,520433,27870,5,438751,3059,5,N/A,N/A,1477368
1982,Ohio,Spirits,13627000,5600697,8497146,6591,9,7200984,7778,9,N/A,03,5491681
1982,Ohio,Wine,14641000,1888689,8497146,2223,7,7200984,2623,7,N/A,28,1874048
1982,Ohio,Beer,265012000,11925540,8497146,14035,5,7200984,6561,5,N/A,48,12720576
1982,Ohio,All beverages,N/A,19414926,8497146,22849,8,7200984,6961,8,N/A,N/A,20086305
1982,Oklahoma,Spirits,5041000,2071851,2522663,8213,7,2149456,9639,8,N/A,07,2051687
1982,Oklahoma,Wine,3172000,409188,2522663,1622,9,2149456,1904,9,N/A,30,412360
1982,Oklahoma,Beer,64679000,2910555,2522663,11538,9,2149456,3541,9,N/A,48,3104592
1982,Oklahoma,All beverages,N/A,5391594,2522663,21373,9,2149456,5084,9,N/A,N/A,5568639
1982,Oregon,Spirits,4492000,1846212,2108620,8756,7,1815965,0167,7,N/A,04,1814768
1982,Oregon,Wine,8556000,1103724,2108620,5234,2,1815965,6078,2,N/A,20,1026720
1982,Oregon,Beer,62041000,2791845,2108620,13240,6,1815965,5374,7,N/A,48,2977968
1982,Oregon,All beverages,N/A,5741781,2108620,27230,6,1815965,1618,6,N/A,N/A,5819456
1982,Pennsylvania,Spirits,16356000,6722316,9623197,6986,9,8217224,8181,9,N/A,00,6542400
1982,Pennsylvania,Wine,17146000,2211834,9623197,2298,7,8217224,2692,7,N/A,26,2160396
1982,Pennsylvania,Beer,308097000,13864365,9623197,14407,5,8217224,6872,4,N/A,48,14788656
1982,Pennsylvania,All beverages,N/A,22798515,9623197,23691,8,8217224,7745,8,N/A,N/A,23491452
1982,Rhode Island,Spirits,1988000,817068,782823,10437,5,666173,2265,5,N/A,89,773332
1982,Rhode Island,Wine,3364000,433956,782823,5543,1,666173,6514,1,N/A,25,420500
1982,Rhode Island,Beer,23371000,1051695,782823,13435,6,666173,5787,6,N/A,48,1121808
1982,Rhode Island,All beverages,N/A,2302719,782823,29416,4,666173,4566,4,N/A,N/A,2315640
1982,South Carolina,Spirits,6057000,2489427,2505738,9935,6,2087900,1923,6,N/A,11,2489427
1982,South Carolina,Wine,3931000,507099,2505738,2024,8,2087900,2429,8,N/A,26,495306
1982,South Carolina,Beer,68711000,3091995,2505738,12340,8,2087900,4809,8,N/A,48,3298128
1982,South Carolina,All beverages,N/A,6088521,2505738,24298,7,2087900,9161,7,N/A,N/A,6282861
1982,South Dakota,Spirits,1267000,520737,535390,9726,6,451118,1543,6,N/A,99,505533
1982,South Dakota,Wine,743000,95847,535390,1790,8,451118,2125,8,N/A,28,95104
1982,South Dakota,Beer,15335000,690075,535390,12889,7,451118,5297,7,N/A,48,736080
1982,South Dakota,All beverages,N/A,1306659,535390,24406,7,451118,8965,7,N/A,N/A,1336717
1982,Tennessee,Spirits,6274000,2578614,3684902,6998,9,3125901,8249,9,N/A,08,2559792
1982,Tennessee,Wine,3950000,509550,3684902,1383,9,3125901,1630,9,N/A,25,493750
1982,Tennessee,Beer,92421000,4158945,3684902,11286,9,3125901,3305,9,N/A,48,4436208
1982,Tennessee,All beverages,N/A,7247109,3684902,19667,0,3125901,3184,0,N/A,N/A,7489750
1982,Texas,Spirits,23987000,9858657,11798911,8356,7,9934947,9923,7,N/A,10,9834670
1982,Texas,Wine,16168000,2085672,11798911,1768,8,9934947,2099,8,N/A,22,1972496
1982,Texas,Beer,478758000,21544110,11798911,18259,1,9934947,1685,1,N/A,48,22980384
1982,Texas,All beverages,N/A,33488439,11798911,28383,4,9934947,3708,4,N/A,N/A,34787550
1982,Utah,Spirits,1434000,589374,1078468,5465,0,893044,6600,0,N/A,93,563562
1982,Utah,Wine,1231000,158799,1078468,1472,9,893044,1778,9,N/A,23,151413
1982,Utah,Beer,24187000,1088415,1078468,10092,0,893044,2188,0,N/A,48,1160976
1982,Utah,All beverages,N/A,1836588,1078468,17030,0,893044,0565,0,N/A,N/A,1875951
1982,Vermont,Spirits,1243000,510873,411918,12402,2,347115,4718,2,N/A,95,490985
1982,Vermont,Wine,1605000,207045,411918,5026,2,347115,5965,2,N/A,20,192600
1982,Vermont,Beer,13552000,609840,411918,14805,4,347115,7569,4,N/A,48,650496
1982,Vermont,All beverages,N/A,1327758,411918,32234,2,347115,8251,2,N/A,N/A,1334081
1982,Virginia,Spirits,9246000,3800106,4407952,8621,7,3727792,0194,7,N/A,10,3790860
1982,Virginia,Wine,9179000,1184091,4407952,2686,6,3727792,3176,6,N/A,19,1092301
1982,Virginia,Beer,142535000,6414075,4407952,14551,4,3727792,7206,4,N/A,48,6841680
1982,Virginia,All beverages,N/A,11398272,4407952,25858,6,3727792,0576,6,N/A,N/A,11724841
1982,Washington,Spirits,8120000,3337320,3390577,9843,6,2903969,1492,6,N/A,03,3272360
1982,Washington,Wine,13697000,1766913,3390577,5211,2,2903969,6084,2,N/A,21,1657337
1982,Washington,Beer,99530000,4478850,3390577,13210,7,2903969,5423,7,N/A,48,4777440
1982,Washington,All beverages,N/A,9583083,3390577,28264,5,2903969,3000,5,N/A,N/A,9707137
1982,West Virginia,Spirits,2049000,842139,1535306,5485,0,1306500,6446,0,N/A,06,831894
1982,West Virginia,Wine,1672000,215688,1535306,1405,9,1306500,1651,9,N/A,22,203984
1982,West Virginia,Beer,37789000,1700505,1535306,11076,9,1306500,3016,9,N/A,48,1813872
1982,West Virginia,All beverages,N/A,2758332,1535306,17966,0,1306500,1112,0,N/A,N/A,2849750
1982,Wisconsin,Spirits,9545000,3922995,3742437,10482,4,3145975,2470,4,N/A,94,3760730
1982,Wisconsin,Wine,8784000,1133136,3742437,3028,6,3145975,3602,5,N/A,23,1080432
1982,Wisconsin,Beer,161932000,7286940,3742437,19471,1,3145975,3163,1,N/A,48,7772736
1982,Wisconsin,All beverages,N/A,12343071,3742437,32981,2,3145975,9234,2,N/A,N/A,12613898
1982,Wyoming,Spirits,1113000,457443,380509,12022,2,322915,4166,2,N/A,97,441861
1982,Wyoming,Wine,699000,90171,380509,2370,6,322915,2792,6,N/A,20,83880
1982,Wyoming,Beer,15054000,677430,380509,17803,2,322915,0979,2,N/A,48,722592
1982,Wyoming,All beverages,N/A,1225044,380509,32195,3,322915,7937,2,N/A,N/A,1248333
1982,Northeast Region,Spirits,102948000,42311628,40099007,10552,N/A,34121983,2400,N/A,N/A,99,41076252
1982,Northeast Region,Wine,133238000,17187702,40099007,4286,N/A,34121983,5037,N/A,N/A,24,16521512
1982,Northeast Region,Beer,1168578000,52586010,40099007,13114,N/A,34121983,5411,N/A,N/A,48,56091744
1982,Northeast Region,All beverages,N/A,112085340,40099007,27952,N/A,34121983,2848,N/A,N/A,N/A,13689508
1982,Midwest Region,Spirits,99114000,40735854,46342054,8790,N/A,39175527,0398,N/A,N/A,00,39645600
1982,Midwest Region,Wine,97435000,12569115,46342054,2712,N/A,39175527,3208,N/A,N/A,25,12179375
1982,Midwest Region,Beer,1465679000,65955555,46342054,14232,N/A,39175527,6836,N/A,N/A,48,70352592
1982,Midwest Region,All beverages,N/A,119260524,46342054,25735,N/A,39175527,0443,N/A,N/A,N/A,22177567
1982,South Region,Spirits,141741000,58255551,61803339,9426,N/A,52271859,1145,N/A,N/A,08,57830328
1982,South Region,Wine,111696000,14408784,61803339,2331,N/A,52271859,2757,N/A,N/A,24,13850304
1982,South Region,Beer,1880124000,84605580,61803339,13689,N/A,52271859,6186,N/A,N/A,48,90245952
1982,South Region,All beverages,N/A,157269915,61803339,25447,N/A,52271859,0087,N/A,N/A,N/A,61926584
1982,West Region,Spirits,95316000,39174876,35664638,10984,N/A,30419606,2878,N/A,N/A,00,38126400
1982,West Region,Wine,164038000,21160902,35664638,5933,N/A,30419606,6956,N/A,N/A,21,19848598
1982,West Region,Beer,1139817000,51291765,35664638,14382,N/A,30419606,6861,N/A,N/A,48,54711216
1982,West Region,All beverages,N/A,111627543,35664638,31299,N/A,30419606,6696,N/A,N/A,N/A,12686214
1982,United States,Spirits,439119000,180477909,183909038,9813,N/A,155988975,1570,N/A,N/A,02,76525838
1982,United States,Wine,506407000,65326503,183909038,3552,N/A,155988975,4188,N/A,N/A,23,62288061
1982,United States,Beer,5654198000,254438910,183909038,13835,N/A,155988975,6311,N/A,N/A,48,71401504
1982,United States,All beverages,N/A,500243322,183909038,27201,N/A,155988975,2069,N/A,N/A,N/A,10215403
1983,Alabama,Spirits,5400000,2219400,3088856,7185,9,2609345,8506,9,N/A,11,2219400
1983,Alabama,Wine,4067000,524643,3088856,1699,9,2609345,2011,9,N/A,20,488040
1983,Alabama,Beer,69597000,3131865,3088856,10139,0,2609345,2002,0,N/A,47,3271059
1983,Alabama,All beverages,N/A,5875908,3088856,19023,0,2609345,2519,0,N/A,N/A,5978499
1983,Alaska,Spirits,1470000,604170,365673,16522,1,307150,9670,1,N/A,85,565950
1983,Alaska,Wine,1673000,215817,365673,5902,1,307150,7026,1,N/A,33,222509
1983,Alaska,Beer,13906000,625770,365673,17113,2,307150,0373,2,N/A,47,653582
1983,Alaska,All beverages,N/A,1445757,365673,39537,1,307150,7070,1,N/A,N/A,1442041
1983,Arizona,Spirits,5640000,2318040,2339262,9909,6,2000127,1589,6,N/A,97,2239080
1983,Arizona,Wine,7842000,1011618,2339262,4325,4,2000127,5058,4,N/A,24,972408
1983,Arizona,Beer,83067000,3738015,2339262,15979,2,2000127,8689,2,N/A,47,3904149
1983,Arizona,All beverages,N/A,7067673,2339262,30213,3,2000127,5336,4,N/A,N/A,7115637
1983,Arkansas,Spirits,2800000,1150800,1815799,6338,0,1544104,7453,0,N/A,06,1136800
1983,Arkansas,Wine,1794000,231426,1815799,1275,0,1544104,1499,0,N/A,43,256542
1983,Arkansas,Beer,41704000,1876680,1815799,10335,0,1544104,2154,0,N/A,47,1960088
1983,Arkansas,All beverages,N/A,3258906,1815799,17948,0,1544104,1105,0,N/A,N/A,3353430
1983,California,Spirits,54304000,22318944,20238325,11028,3,17391552,2833,4,N/A,95,21450080
1983,California,Wine,116592000,15040368,20238325,7432,1,17391552,8648,1,N/A,18,13757856
1983,California,Beer,612224000,27550080,20238325,13613,6,17391552,5841,6,N/A,47,28774528
1983,California,All beverages,N/A,64909392,20238325,32073,2,17391552,7322,2,N/A,N/A,63982464
1983,Colorado,Spirits,6767000,2781237,2475367,11236,3,2122950,3101,3,N/A,96,2679732
1983,Colorado,Wine,8750000,1128750,2475367,4560,3,2122950,5317,3,N/A,19,1041250
1983,Colorado,Beer,86398000,3887910,2475367,15706,3,2122950,8314,3,N/A,47,4060706
1983,Colorado,All beverages,N/A,7797897,2475367,31502,3,2122950,6731,2,N/A,N/A,7781688
1983,Connecticut,Spirits,7719000,3172509,2598565,12209,2,2217607,4306,2,N/A,89,3002691
1983,Connecticut,Wine,9826000,1267554,2598565,4878,3,2217607,5716,3,N/A,21,1188946
1983,Connecticut,Beer,63297000,2848365,2598565,10961,0,2217607,2844,0,N/A,47,2974959
1983,Connecticut,All beverages,N/A,7288428,2598565,28048,5,2217607,2866,5,N/A,N/A,7166596
1983,Delaware,Spirits,1594000,655134,484730,13515,1,410770,5949,1,N/A,94,628036
1983,Delaware,Wine,1328000,171312,484730,3534,4,410770,4171,4,N/A,25,166000
1983,Delaware,Beer,16665000,749925,484730,15471,3,410770,8257,3,N/A,47,783255
1983,Delaware,All beverages,N/A,1576371,484730,32521,2,410770,8376,2,N/A,N/A,1577291
1983,District of Columbia,Spirits,3533000,1452063,535269,27128,1,468235,1011,1,N/A,06,1434398
1983,District of Columbia,Wine,4344000,560376,535269,10469,1,468235,1968,1,N/A,20,521280
1983,District of Columbia,Beer,17937000,807165,535269,15080,3,468235,7238,4,N/A,47,843039
1983,District of Columbia,All beverages,N/A,2819604,535269,52676,1,468235,0218,1,N/A,N/A,2798717
1983,Florida,Spirits,26478000,10882458,8902764,12224,2,7790373,3969,2,N/A,02,10644156
1983,Florida,Wine,27077000,3492933,8902764,3923,4,7790373,4484,4,N/A,17,3168009
1983,Florida,Beer,306191000,13778595,8902764,15477,3,7790373,7687,3,N/A,47,14390977
1983,Florida,All beverages,N/A,28153986,8902764,31624,2,7790373,6139,3,N/A,N/A,28203142
1983,Georgia,Spirits,11523000,4735953,4483360,10563,4,3779220,2532,4,N/A,06,4678338
1983,Georgia,Wine,7626000,983754,4483360,2194,7,3779220,2603,7,N/A,21,922746
1983,Georgia,Beer,113960000,5128200,4483360,11438,9,3779220,3569,9,N/A,47,5356120
1983,Georgia,All beverages,N/A,10847907,4483360,24196,7,3779220,8704,7,N/A,N/A,10957204
1983,Hawaii,Spirits,2180000,895980,795048,11270,3,679380,3188,3,N/A,95,861100
1983,Hawaii,Wine,2727000,351783,795048,4425,3,679380,5178,3,N/A,17,319059
1983,Hawaii,Beer,33313000,1499085,795048,18855,1,679380,2065,1,N/A,47,1565711
1983,Hawaii,All beverages,N/A,2746848,795048,34549,1,679380,0432,1,N/A,N/A,2745870
1983,Idaho,Spirits,1368000,562248,730325,7699,8,617268,9109,8,N/A,98,544464
1983,Idaho,Wine,1713000,220977,730325,3026,5,617268,3580,5,N/A,15,196995
1983,Idaho,Beer,23572000,1060740,730325,14524,4,617268,7184,5,N/A,47,1107884
1983,Idaho,All beverages,N/A,1843965,730325,25249,7,617268,9873,7,N/A,N/A,1849343
1983,Illinois,Spirits,22703000,9330933,9026268,10338,5,7691781,2131,5,N/A,96,8990388
1983,Illinois,Wine,24545000,3166305,9026268,3508,4,7691781,4116,4,N/A,24,3043580
1983,Illinois,Beer,287532000,12938940,9026268,14335,5,7691781,6822,5,N/A,47,13514004
1983,Illinois,All beverages,N/A,25436178,9026268,28180,4,7691781,3069,5,N/A,N/A,25547972
1983,Indiana,Spirits,7616000,3130176,4282854,7309,8,3630665,8621,8,N/A,98,3031168
1983,Indiana,Wine,6234000,804186,4282854,1878,8,3630665,2215,8,N/A,26,785484
1983,Indiana,Beer,121986000,5489370,4282854,12817,7,3630665,5119,7,N/A,47,5733342
1983,Indiana,All beverages,N/A,9423732,4282854,22003,8,3630665,5956,8,N/A,N/A,9549994
1983,Iowa,Spirits,3590000,1475490,2271948,6494,0,1938378,7612,0,N/A,92,1407280
1983,Iowa,Wine,2230000,287670,2271948,1266,0,1938378,1484,0,N/A,19,265370
1983,Iowa,Beer,70748000,3183660,2271948,14013,5,1938378,6424,5,N/A,47,3325156
1983,Iowa,All beverages,N/A,4946820,2271948,21773,8,1938378,5520,8,N/A,N/A,4997806
