Year,State,Type of beverage,Gallons of beverage,Gallons of ethanol (absolute alcohol),Population (age 14 and older),Gallons of ethanol per capita age 14 and older,Decile for per capita consumption age 14 and older,Population (age 21 and older),Gallons of ethanol per capita age 21 and older,Decile for per capita consumption age 21 and older,Type of data source,Time-varying alcohol by volume (ABV),Gallons of ethanol derived from time-varying ABV
1970,Iowa,Wine,780000,124800,2076000,601,0,1699000,735,0,N/A,N/A,N/A
1970,Iowa,Beer,50294000,2263230,2076000,10902,7,1699000,3321,7,N/A,N/A,N/A
1970,Iowa,All beverages,N/A,3806880,2076000,18338,8,1699000,2407,8,N/A,N/A,N/A
1970,Kansas,Spirits,2410000,1084500,1678000,6463,0,1373000,7899,0,N/A,N/A,N/A
1970,Kansas,Wine,963000,154080,1678000,918,9,1373000,1122,9,N/A,N/A,N/A
1970,Kansas,Beer,31852000,1433340,1678000,8542,9,1373000,0439,9,N/A,N/A,N/A
1970,Kansas,All beverages,N/A,2671920,1678000,15923,0,1373000,9460,0,N/A,N/A,N/A
1970,Kentucky,Spirits,4420000,1989000,2363000,8417,8,1918000,0370,8,N/A,N/A,N/A
1970,Kentucky,Wine,1222000,195520,2363000,827,0,1918000,1019,0,N/A,N/A,N/A
1970,Kentucky,Beer,49079000,2208555,2363000,9346,8,1918000,1515,8,N/A,N/A,N/A
1970,Kentucky,All beverages,N/A,4393075,2363000,18591,8,1918000,2904,8,N/A,N/A,N/A
1970,Louisiana,Spirits,5195000,2337750,2567000,9107,7,2041000,1454,7,N/A,N/A,N/A
1970,Louisiana,Wine,4593000,734880,2567000,2863,4,2041000,3601,4,N/A,N/A,N/A
1970,Louisiana,Beer,68578000,3086010,2567000,12022,4,2041000,5120,4,N/A,N/A,N/A
1970,Louisiana,All beverages,N/A,6158640,2567000,23992,6,2041000,0175,6,N/A,N/A,N/A
1970,Maine,Spirits,1668000,750600,727000,10325,5,597000,2573,6,N/A,N/A,N/A
